GRD_NEWID,MS_POPULATION_20200101
1kmN3101E3808,2
1kmN3102E3808,5
1kmN3103E3808,25
1kmN3104E3808,48
1kmN3105E3808,26
1kmN3106E3808,226
1kmN3107E3808,953
1kmN3108E3808,504
1kmN3109E3808,53
1kmN3110E3808,107
1kmN3111E3808,48
1kmN3112E3808,30
1kmN3113E3808,43
1kmN3114E3808,30
1kmN3115E3808,31
1kmN3116E3808,21
1kmN3117E3808,33
1kmN3118E3808,13
1kmN3119E3808,18
1kmN3120E3808,20
1kmN3121E3808,84
1kmN3122E3808,188
1kmN3123E3808,29
1kmN3124E3808,21
1kmN3125E3808,36
1kmN3126E3808,36
1kmN3127E3808,18
1kmN3128E3808,25
1kmN3129E3808,25
1kmN3130E3808,44
1kmN3131E3808,173
1kmN3132E3808,2136
1kmN3133E3808,1328
1kmN3134E3808,6
1kmN3135E3808,17
1kmN3136E3808,307
1kmN3137E3808,421
1kmN3138E3808,600
1kmN3139E3808,391
1kmN3099E3809,20
1kmN3100E3809,29
1kmN3101E3809,21
1kmN3102E3809,10
1kmN3103E3809,29
1kmN3104E3809,70
1kmN3105E3809,15
1kmN3106E3809,301
1kmN3107E3809,2592
1kmN3108E3809,2976
1kmN3109E3809,247
1kmN3110E3809,37
1kmN3111E3809,34
1kmN3112E3809,43
1kmN3113E3809,39
1kmN3114E3809,48
1kmN3115E3809,63
1kmN3116E3809,88
1kmN3117E3809,2
1kmN3118E3809,16
1kmN3119E3809,22
1kmN3120E3809,18
1kmN3121E3809,65
1kmN3122E3809,25
1kmN3123E3809,36
1kmN3124E3809,31
1kmN3125E3809,34
1kmN3126E3809,11
1kmN3127E3809,13
1kmN3128E3809,7
1kmN3129E3809,8
1kmN3130E3809,214
1kmN3131E3809,24
1kmN3132E3809,422
1kmN3133E3809,28
1kmN3134E3809,27
1kmN3135E3809,93
1kmN3136E3809,193
1kmN3137E3809,1538
1kmN3138E3809,1515
1kmN3139E3809,1044
1kmN3140E3809,0
1kmN3096E3810,0
1kmN3097E3810,5
1kmN3098E3810,0
1kmN3099E3810,30
1kmN3100E3810,85
1kmN3101E3810,674
1kmN3102E3810,100
1kmN3103E3810,43
1kmN3104E3810,12
1kmN3105E3810,60
1kmN3106E3810,138
1kmN3107E3810,1927
1kmN3108E3810,1708
1kmN3109E3810,156
1kmN3110E3810,38
1kmN3111E3810,35
1kmN3112E3810,52
1kmN3113E3810,57
1kmN3114E3810,29
1kmN3115E3810,266
1kmN3116E3810,135
1kmN3117E3810,14
1kmN3118E3810,54
1kmN3119E3810,42
1kmN3120E3810,9
1kmN3121E3810,32
1kmN3122E3810,25
1kmN3123E3810,20
1kmN3124E3810,56
1kmN3125E3810,970
1kmN3126E3810,44
1kmN3127E3810,14
1kmN3128E3810,5
1kmN3129E3810,22
1kmN3130E3810,14
1kmN3131E3810,6
1kmN3132E3810,16
1kmN3133E3810,8
1kmN3134E3810,16
1kmN3135E3810,249
1kmN3136E3810,62
1kmN3137E3810,736
1kmN3138E3810,701
1kmN3139E3810,184
1kmN3140E3810,0
1kmN3094E3811,0
1kmN3095E3811,0
1kmN3096E3811,12
1kmN3097E3811,20
1kmN3098E3811,18
1kmN3099E3811,83
1kmN3100E3811,77
1kmN3101E3811,30
1kmN3102E3811,21
1kmN3103E3811,406
1kmN3104E3811,141
1kmN3105E3811,35
1kmN3106E3811,42
1kmN3107E3811,132
1kmN3108E3811,63
1kmN3109E3811,21
1kmN3110E3811,42
1kmN3111E3811,23
1kmN3112E3811,69
1kmN3113E3811,37
1kmN3114E3811,63
1kmN3115E3811,40
1kmN3116E3811,770
1kmN3117E3811,23
1kmN3118E3811,3
1kmN3119E3811,19
1kmN3120E3811,300
1kmN3121E3811,65
1kmN3122E3811,43
1kmN3123E3811,22
1kmN3124E3811,16
1kmN3125E3811,265
1kmN3126E3811,37
1kmN3127E3811,9
1kmN3128E3811,24
1kmN3129E3811,106
1kmN3130E3811,6
1kmN3131E3811,19
1kmN3132E3811,11
1kmN3133E3811,5
1kmN3134E3811,8
1kmN3135E3811,3
1kmN3136E3811,10
1kmN3137E3811,80
1kmN3138E3811,176
1kmN3139E3811,303
1kmN3140E3811,1040
1kmN3141E3811,0
1kmN3092E3812,0
1kmN3093E3812,6
1kmN3094E3812,6
1kmN3095E3812,32
1kmN3096E3812,19
1kmN3097E3812,241
1kmN3098E3812,34
1kmN3099E3812,337
1kmN3100E3812,123
1kmN3101E3812,39
1kmN3102E3812,64
1kmN3103E3812,392
1kmN3104E3812,55
1kmN3105E3812,30
1kmN3106E3812,37
1kmN3107E3812,95
1kmN3108E3812,45
1kmN3109E3812,33
1kmN3110E3812,12
1kmN3111E3812,45
1kmN3112E3812,20
1kmN3113E3812,22
1kmN3114E3812,47
1kmN3115E3812,45
1kmN3116E3812,21
1kmN3117E3812,15
1kmN3118E3812,0
1kmN3119E3812,0
1kmN3120E3812,23
1kmN3121E3812,668
1kmN3122E3812,156
1kmN3123E3812,19
1kmN3124E3812,9
1kmN3125E3812,45
1kmN3126E3812,11
1kmN3127E3812,19
1kmN3128E3812,24
1kmN3129E3812,24
1kmN3130E3812,11
1kmN3131E3812,271
1kmN3132E3812,13
1kmN3133E3812,12
1kmN3134E3812,10
1kmN3135E3812,6
1kmN3136E3812,9
1kmN3137E3812,4
1kmN3138E3812,41
1kmN3139E3812,219
1kmN3140E3812,2126
1kmN3141E3812,0
1kmN3091E3813,0
1kmN3092E3813,13
1kmN3093E3813,32
1kmN3094E3813,14
1kmN3095E3813,26
1kmN3096E3813,7
1kmN3097E3813,189
1kmN3098E3813,30
1kmN3099E3813,33
1kmN3100E3813,41
1kmN3101E3813,41
1kmN3102E3813,40
1kmN3103E3813,19
1kmN3104E3813,111
1kmN3105E3813,25
1kmN3106E3813,30
1kmN3107E3813,135
1kmN3108E3813,119
1kmN3109E3813,7
1kmN3110E3813,30
1kmN3111E3813,112
1kmN3112E3813,124
1kmN3113E3813,49
1kmN3114E3813,57
1kmN3115E3813,27
1kmN3116E3813,33
1kmN3117E3813,17
1kmN3118E3813,2
1kmN3119E3813,11
1kmN3120E3813,13
1kmN3121E3813,123
1kmN3122E3813,49
1kmN3123E3813,13
1kmN3124E3813,14
1kmN3125E3813,18
1kmN3126E3813,13
1kmN3127E3813,0
1kmN3128E3813,9
1kmN3129E3813,10
1kmN3130E3813,6
1kmN3131E3813,17
1kmN3132E3813,12
1kmN3133E3813,39
1kmN3134E3813,14
1kmN3135E3813,0
1kmN3136E3813,15
1kmN3137E3813,15
1kmN3138E3813,1015
1kmN3139E3813,1643
1kmN3140E3813,307
1kmN3141E3813,0
1kmN3142E3813,0
1kmN3091E3814,0
1kmN3092E3814,19
1kmN3093E3814,49
1kmN3094E3814,59
1kmN3095E3814,23
1kmN3096E3814,20
1kmN3097E3814,28
1kmN3098E3814,18
1kmN3099E3814,29
1kmN3100E3814,19
1kmN3101E3814,371
1kmN3102E3814,42
1kmN3103E3814,23
1kmN3104E3814,16
1kmN3105E3814,19
1kmN3106E3814,35
1kmN3107E3814,350
1kmN3108E3814,16
1kmN3109E3814,60
1kmN3110E3814,26
1kmN3111E3814,21
1kmN3112E3814,593
1kmN3113E3814,184
1kmN3114E3814,40
1kmN3115E3814,45
1kmN3116E3814,30
1kmN3117E3814,125
1kmN3118E3814,17
1kmN3119E3814,19
1kmN3120E3814,8
1kmN3121E3814,15
1kmN3122E3814,34
1kmN3123E3814,25
1kmN3124E3814,16
1kmN3125E3814,18
1kmN3126E3814,0
1kmN3127E3814,59
1kmN3128E3814,6
1kmN3129E3814,0
1kmN3130E3814,8
1kmN3131E3814,9
1kmN3132E3814,12
1kmN3133E3814,5
1kmN3134E3814,9
1kmN3135E3814,50
1kmN3136E3814,34
1kmN3137E3814,699
1kmN3138E3814,3639
1kmN3139E3814,48
1kmN3140E3814,608
1kmN3141E3814,53
1kmN3142E3814,0
1kmN3091E3815,0
1kmN3092E3815,32
1kmN3093E3815,22
1kmN3094E3815,124
1kmN3095E3815,893
1kmN3096E3815,24
1kmN3097E3815,30
1kmN3098E3815,48
1kmN3099E3815,259
1kmN3100E3815,35
1kmN3101E3815,11
1kmN3102E3815,51
1kmN3103E3815,69
1kmN3104E3815,13
1kmN3105E3815,40
1kmN3106E3815,14
1kmN3107E3815,222
1kmN3108E3815,23
1kmN3109E3815,21
1kmN3110E3815,48
1kmN3111E3815,103
1kmN3112E3815,116
1kmN3113E3815,144
1kmN3114E3815,48
1kmN3115E3815,34
1kmN3116E3815,60
1kmN3117E3815,384
1kmN3118E3815,58
1kmN3119E3815,8
1kmN3120E3815,9
1kmN3121E3815,4
1kmN3122E3815,32
