evse_latitude,evse_longitude,Pool_SiteType,evse_nominal_power,sessions_per_day,grid_id_1km,population_1km,osm_shop_any_500m,osm_amenity_food_500m,osm_office_any_500m,osm_parking_500m,osm_fuel_500m
50.9891,3.58749,Store,320,3.1666666666666665,1kmN3117E3871,222,5,2,0,0,1
50.938695,5.318296,Office building,150,6.967741935483871,1kmN3102E3992,2800,16,1,4,19,3
51.149514,4.127082,Store,320,2.5517241379310347,1kmN3131E3910,658,7,1,2,1,2
50.716236,5.063168,Unknown,400,9.193548387096774,1kmN3078E3972,0,0,0,0,6,0
50.970743,3.844233,Store,350,13.366666666666667,1kmN3113E3889,118,1,1,5,18,2
50.938346,4.475505,Unknown,300,19.677419354838708,1kmN3106E3933,156,0,0,0,3,0
51.19844,3.23038,Store,320,2.5,1kmN3142E3848,3221,19,18,3,29,4
51.19844,3.23038,Store,320,0.935483870967742,1kmN3142E3848,3221,19,18,3,29,4
50.95202,4.998123,Store,300,16.967741935483872,1kmN3105E3969,79,1,1,0,3,0
50.938346,4.475505,Unknown,300,17.0,1kmN3106E3933,156,0,0,0,3,0
50.716236,5.063168,Unknown,400,6.870967741935484,1kmN3078E3972,0,0,0,0,6,0
50.841181,4.49586,Office building,200,2.8,1kmN3095E3933,2854,7,7,2,10,0
51.04756,3.706687,Office building,150,1.870967741935484,1kmN3123E3880,7056,19,13,5,55,0
50.848281,4.471597,Parking area,300,6.387096774193548,1kmN3096E3932,2078,24,3,3,53,1
50.903272,4.346879,Parking area,300,2.5357142857142856,1kmN3103E3923,1827,2,2,7,77,1
50.936129,4.47578,Unknown,300,22.225806451612904,1kmN3106E3933,156,0,1,0,4,0
50.825547,4.814096,Store,300,8.366666666666667,1kmN3092E3955,131,1,0,0,1,0
51.320062,3.29838,Unknown,400,3.967741935483871,1kmN3155E3854,1148,8,0,1,5,0
50.874852,3.837586,Parking area,300,2.6,1kmN3103E3887,716,0,0,1,3,1
51.18076,4.3891,Store,320,4.483870967741935,1kmN3133E3929,3971,11,3,9,4,3
50.848281,4.471597,Parking area,300,7.806451612903226,1kmN3096E3932,2078,24,3,3,53,1
51.227338,5.431647,Office building,200,2.5806451612903225,1kmN3134E4002,2490,37,26,7,38,2
51.208988,3.20235,Store,301,4.9,1kmN3144E3846,943,8,0,5,102,3
50.886968,4.74097,Store,150,3.0,1kmN3099E3951,2112,8,2,4,20,0
51.226805,2.921838,Office building,400,3.2333333333333334,1kmN3147E3827,2477,55,36,3,30,0
51.321999,4.586359,Unknown,300,15.709677419354838,1kmN3148E3944,755,0,1,0,1,0
51.242382,4.967385,Store,150,2.6666666666666665,1kmN3137E3969,1906,41,20,8,37,1
50.726898,4.258953,Unknown,300,10.1,1kmN3084E3916,91,1,0,0,4,0
